NAME X Y KRON_FLUX REDSHIFT QUALITY
385 1946.06 1151.11 10.11 0.2244 1.55
386 819.53 1153.41 15.57 0.2241 1.75
387 1873.59 1153.26 28.66 0.2241 1.44
388 986.69 1158.37 35.08 0.2243 2.18
389 1756.52 1156.01 12.88 0.2235 1.86
390 886.94 1156.34 10.22 0.2222 2.23
391 365.67 1159.0 14.26 0.2243 2.07
392 83.0 1163.5 10.33 0.2383 1.98
393 951.27 1167.44 34.87 0.2244 1.49
394 1777.8 1169.33 87.17 0.2223 1.22
395 285.67 1165.99 7.14 0.2398 2.6
396 1198.79 1167.82 7.64 0.2228 1.86
397 365.32 1170.36 14.79 0.2235 2.57
398 1677.56 1170.43 17.54 0.2241 1.55
399 81.58 1173.06 15.19 0.233 2.42
400 497.87 1176.3 8.38 0.2327 1.44
401 801.67 1177.73 14.21 0.2241 1.76
402 1437.18 1177.19 7.4 0.2273 5.95
403 1767.53 1179.27 33.71 0.2279 1.47
404 1293.54 1178.35 9.68 0.2235 2.0
405 82.54 1251.5 2446.05 0.2087 -0.07
406 643.38 1185.09 14.39 0.224 1.39
407 357.36 1186.25 31.94 0.2243 1.53
408 1481.71 1186.22 11.97 0.2254 1.72
409 1164.9 1190.04 20.6 0.224 1.71
410 418.51 1191.17 35.35 0.2243 1.51
411 1102.25 1193.98 17.41 0.2241 1.97
412 892.86 1197.91 32.74 0.2241 1.54
413 133.28 1202.1 106.14 0.2151 1.21
414 162.23 1197.4 5.05 0.2417 2.58
415 1298.89 1203.69 276.26 0.2238 1.39
416 1171.09 1201.13 22.14 0.2241 1.42
417 690.66 1201.32 12.01 0.2346 2.0
418 682.23 1202.07 14.43 0.2232 1.45
419 937.81 1201.63 6.23 0.2414 1.87
420 886.03 1203.83 18.87 0.2241 1.51
421 453.54 1207.31 10.01 0.224 1.84
422 1540.87 1211.55 183.82 0.2235 1.33
423 1177.36 1207.89 10.38 0.2275 2.04
424 1063.92 1213.44 27.55 0.224 1.59
425 441.46 1211.94 8.63 0.222 1.62
426 1513.65 1218.43 80.04 0.2319 1.25
427 531.81 1222.85 54.6 0.2276 2.44
428 728.63 1220.72 11.38 0.2287 2.17
429 294.29 1223.35 13.67 0.233 1.64
430 352.51 1224.43 12.98 0.2241 1.78
431 26.01 1230.16 196.16 0.2289 1.25
432 1278.61 1227.84 22.78 0.2246 1.35
433 285.42 1228.73 16.6 0.2348 1.96
434 1161.68 1235.67 36.02 0.2429 1.87
435 666.2 1240.0 45.17 0.2226 1.42
436 109.93 1238.29 11.06 0.2353 1.73
437 1299.53 1238.62 11.04 0.2412 1.64
438 147.13 1239.37 6.56 0.2342 1.67
439 881.59 1240.96 8.35 0.2316 1.69
440 165.05 1244.02 12.19 0.2252 1.91
441 1520.13 1247.17 7.36 0.2243 2.96
442 624.19 1250.12 25.43 0.2241 1.52
443 668.66 1250.77 25.38 0.2273 1.35
444 1126.67 1255.79 74.47 0.2228 1.33
445 378.19 1255.37 15.34 0.224 2.0
446 1465.16 1253.78 4.48 0.2229 2.13
447 1898.74 1254.68 9.67 0.2287 2.64
448 927.3 1267.0 214.63 0.2304 3.47
449 648.08 1257.44 10.97 0.2244 2.3
450 895.43 1260.14 27.78 0.2241 1.64
451 1053.16 1259.98 6.73 0.2228 2.14
452 854.8 1261.59 14.77 0.2275 1.61
453 428.48 1264.82 9.49 0.2382 1.89
454 1436.03 1268.66 32.87 0.215 1.54
455 1659.87 1268.73 11.63 0.2243 2.52
456 540.27 1273.53 48.47 0.215 1.7
457 853.55 1273.57 36.18 0.2243 1.72
458 348.66 1273.59 7.47 0.2334 1.68
459 640.08 1275.7 18.17 0.2244 1.42
460 1701.16 1277.89 64.68 0.2279 1.2
461 1024.65 1277.22 9.36 0.2215 1.62
462 976.01 1278.54 10.86 0.222 1.42
463 1085.63 1280.23 10.92 0.2241 1.75
464 996.08 1286.76 27.01 0.2241 1.5
465 1782.45 1286.85 12.69 0.2249 3.15
466 878.3 1289.05 13.9 0.2243 1.92
467 663.05 1291.18 24.26 0.2238 1.36
468 786.32 1293.64 182.65 0.222 1.29
469 260.25 1293.16 17.59 0.2228 1.27
470 652.84 1293.88 6.06 0.2404 1.89
471 845.51 1294.82 10.35 0.2222 2.06
472 129.18 1298.37 16.97 0.2243 1.61
473 928.85 1297.94 7.72 0.226 1.53
474 1325.18 1300.74 52.26 0.2243 6.79
475 322.7 1299.99 12.8 0.215 1.82
476 992.49 1300.02 6.44 0.2298 1.57
477 1345.9 1299.6 12.29 0.2241 2.01
478 1278.2 1300.33 7.03 0.2307 2.05
479 1054.96 1301.52 5.88 0.2346 2.3
480 1022.23 1306.25 34.6 0.2241 1.48
481 1071.27 1308.57 28.74 0.2241 1.5
482 368.85 1310.41 7.81 0.2342 1.87
483 977.78 1311.08 16.1 0.2287 5.29
484 393.27 1310.57 8.18 0.2372 1.71
485 706.99 1313.9 29.17 0.2241 1.44
486 1138.27 1313.15 14.08 0.2215 1.61
487 340.21 1316.34 22.59 0.2243 1.56
488 1534.79 1319.73 49.39 0.215 1.35
489 316.74 1327.09 21.7 0.2235 1.45
490 1841.58 1327.56 22.52 0.229 1.39
491 609.31 1332.56 34.61 0.215 1.31
492 653.31 1331.17 12.36 0.215 1.5
493 857.17 1331.21 9.33 0.215 1.68
494 883.76 1334.72 11.95 0.2336 1.68
495 1408.2 1335.45 12.04 0.2351 1.57
496 1703.9 1339.08 17.33 0.2241 3.35
497 1613.07 1341.37 40.9 0.2244 1.55
498 194.06 1343.79 12.22 0.2377 1.95
499 745.74 1346.62 15.43 0.2225 1.74
500 1788.07 1348.69 12.45 0.2289 2.14
501 959.39 1353.44 19.78 0.2246 1.53
502 1036.04 1352.51 19.54 0.2244 1.52
503 704.81 1357.57 25.67 0.2244 1.71
504 1642.19 1353.68 6.44 0.215 1.59
505 737.77 1355.39 8.22 0.2293 1.79
506 1022.82 1357.41 24.27 0.215 1.4
507 1300.74 1355.72 12.22 0.2295 1.88
508 1837.48 1361.65 231.72 0.2395 1.19
509 258.48 1357.23 10.22 0.2368 1.52
510 1480.28 1369.08 48.14 0.2286 1.33
511 350.8 1366.72 19.62 0.2241 1.63
512 515.84 1366.46 10.45 0.2215 1.83
513 1902.83 1370.36 18.64 0.2241 3.23
514 1374.27 1379.57 8.76 0.215 1.39
515 1403.04 1388.35 306.34 0.2217 1.26
516 292.11 1386.84 6.73 0.2388 1.64
517 1429.75 1387.41 7.97 0.2346 4.19
518 1008.7 1387.98 12.38 0.2241 1.73
519 1072.96 1391.06 10.35 0.2314 3.52
520 1058.66 1393.89 31.66 0.2319 8.45
521 794.82 1393.16 9.38 0.231 1.53
522 689.04 1395.95 8.29 0.2281 2.21
523 937.6 1395.61 8.68 0.2247 1.5
524 86.01 1399.15 36.35 0.2151 1.26
525 1370.72 1398.67 8.9 0.238 1.73
526 1158.37 1404.11 35.74 0.2243 1.5
527 1409.74 1402.42 14.14 0.2254 1.76
528 1056.99 1404.89 14.44 0.2348 1.66
529 1717.54 1405.66 19.64 0.2406 11.21
530 755.52 1406.96 9.52 0.2377 1.69
531 1233.37 1415.9 26.47 0.218 1.32
532 409.95 1414.51 12.19 0.2225 3.58
533 1585.75 1417.48 9.75 0.2322 2.59
534 417.31 1420.04 10.89 0.2241 1.45
535 1148.8 1422.31 25.38 0.224 1.78
536 185.41 1424.53 41.8 0.224 1.32
537 1282.81 1423.5 9.81 0.2423 1.55
538 1275.75 1427.12 28.9 0.2234 1.38
539 1254.16 1429.46 23.94 0.2244 1.52
540 1525.7 1429.56 16.96 0.2412 7.94
541 474.63 1431.43 20.94 0.224 1.56
542 1461.93 1436.06 15.19 0.2295 2.12
543 386.02 1438.5 25.82 0.2292 1.41
544 1580.43 1440.3 34.05 0.2275 1.34
545 1529.99 1437.71 5.98 0.2417 6.18
546 356.12 1448.01 36.11 0.2287 2.18
547 435.56 1449.57 30.02 0.2243 1.58
548 1257.39 1450.23 8.52 0.2266 2.17
549 1094.61 1458.21 5.06 0.2257 1.53
550 355.13 1461.97 12.89 0.2417 2.55
551 1259.34 1464.74 39.17 0.215 1.32
552 1113.62 1464.27 9.93 0.2328 1.59
553 997.2 1465.68 13.4 0.2234 2.04
554 355.25 1466.78 19.85 0.234 2.1
555 1095.42 1468.25 22.32 0.2238 1.54
556 1189.71 1467.46 10.02 0.236 2.44
557 1516.05 1467.02 8.63 0.2328 1.36
558 367.32 1471.37 15.11 0.225 3.36
559 1222.5 1472.02 6.21 0.2287 2.1
560 353.66 1599.08 8847.47 0.2087 -0.07
561 385.92 1474.26 22.83 0.243 1.82
562 506.83 1477.95 49.23 0.2282 1.3
563 1278.26 1478.31 43.32 0.2243 1.47
564 35.82 1478.67 14.04 0.2311 1.53
565 1052.65 1479.92 14.4 0.2301 1.65
566 1875.06 1482.88 16.84 0.2243 2.46
567 79.46 1483.19 8.62 0.2397 1.72
568 1267.18 1485.22 32.95 0.2385 10.33
569 1408.41 1485.71 9.97 0.226 1.9
570 1503.38 1488.57 26.54 0.2244 1.69
571 373.16 1491.86 86.17 0.2247 1.23
572 1316.65 1490.34 33.02 0.2243 1.35
573 1230.71 1491.58 12.08 0.2243 1.63
574 1451.82 1495.03 24.82 0.2397 6.66
575 713.63 1500.17 89.47 0.2305 1.27
576 378.56 1499.29 12.24 0.2243 1.69
577 775.76 1503.12 54.31 0.2215 1.25
578 193.61 1508.41 276.27 0.2382 1.34
579 1224.17 1501.86 7.61 0.2447 1.69
580 691.61 1505.46 42.67 0.2244 1.59
581 1518.43 1506.46 39.45 0.2241 1.48
582 423.79 1506.03 15.17 0.2243 1.76
583 336.68 1507.61 7.77 0.2369 6.33
584 1296.28 1508.46 19.21 0.2243 1.58
